Amount Wrong,Total Patterns,Percent Wrong
2469,8000,30.8625
3276,10000,32.76
3181,10000,31.81
3410,10000,34.1
3297,10000,32.97
3570,10000,35.7
3172,10000,31.72
2924,10000,29.24
3119,10000,31.19
3264,10000,32.64
3514,10000,35.14
2964,10000,29.64
3903,10000,39.03
3105,10000,31.05
3219,10000,32.19
3133,10000,31.33
3238,10000,32.38
3534,10000,35.34
3437,10000,34.37
3134,10000,31.34
3203,10000,32.03
3129,10000,31.29
3943,10000,39.43
3509,10000,35.09
3957,10000,39.57
4565,10000,45.65
2680,10000,26.8
4086,10000,40.86
2765,10000,27.65
4388,10000,43.88
4164,10000,41.64
3467,10000,34.67
2838,10000,28.38
2848,10000,28.48
687,10000,6.87
2290,10000,22.9
890,10000,8.9
945,10000,9.45
3467,10000,34.67
2956,10000,29.56
2640,10000,26.4
2840,10000,28.4
2987,10000,29.87
2969,10000,29.69
3149,10000,31.49
26,65,40
3341,10000,33.41
3091,10000,30.91
2955,10000,29.55
3112,10000,31.12
3106,10000,31.06
3479,10000,34.79
3796,10000,37.96
3207,10000,32.07
3091,10000,30.91
3025,10000,30.25
2954,10000,29.54
3134,10000,31.34
3140,10000,31.4
2908,10000,29.08
2980,10000,29.8
2530,10000,25.3
2692,10000,26.92
3147,10000,31.47
2694,10000,26.94
3066,10000,30.66
3062,10000,30.62
2749,10000,27.49
2864,10000,28.64
3525,10000,35.25
2831,10000,28.31
1831,10000,18.31
2146,10000,21.46
2292,10000,22.92
2301,10000,23.01
2495,10000,24.95
2727,10000,27.27
2582,10000,25.82
3395,10000,33.95
3846,10000,38.46
3485,10000,34.85
3224,10000,32.24
3375,10000,33.75
2423,10000,24.23
3446,10000,34.46
3286,10000,32.86
3547,10000,35.47
3086,10000,30.86
3361,10000,33.61
3032,10000,30.32
3049,10000,30.49
3198,10000,31.98
3133,10000,31.33
2939,10000,29.39
3253,10000,32.53
4155,10000,41.55
3059,10000,30.59
3027,10000,30.27
3094,10000,30.94
3332,10000,33.32
3610,10000,36.1
3192,10000,31.92
3189,10000,31.89
3463,10000,34.63
3520,10000,35.2
4142,10000,41.42
3594,10000,35.94
3626,10000,36.26
3398,10000,33.98
3557,10000,35.57
3601,10000,36.01
3496,10000,34.96
3529,10000,35.29
3034,10000,30.34
3076,10000,30.76
3259,10000,32.59
3229,10000,32.29
2870,10000,28.7
2894,10000,28.94
3097,10000,30.97
3330,10000,33.3
